image_filename,label
0.png,0
1.png,9
2.png,9
3.png,9
4.png,0
5.png,4
6.png,6
7.png,6
8.png,7
9.png,8
10.png,7
11.png,6
12.png,1
13.png,9
14.png,2
15.png,6
16.png,3
17.png,3
18.png,9
19.png,8
20.png,6
21.png,5
22.png,4
23.png,5
24.png,9
25.png,5
26.png,8
27.png,4
28.png,7
29.png,6
30.png,4
31.png,4
32.png,7
33.png,2
34.png,1
35.png,3
36.png,9
37.png,7
38.png,7
39.png,7
40.png,0
41.png,6
42.png,0
43.png,6
44.png,5
45.png,8
46.png,3
47.png,5
48.png,7
49.png,6
50.png,0
51.png,7
52.png,1
53.png,8
54.png,0
55.png,3
56.png,2
57.png,1
58.png,3
59.png,1
60.png,9
61.png,2
62.png,6
63.png,7
64.png,7
65.png,4
66.png,4
67.png,3
68.png,7
69.png,9
70.png,5
71.png,2
72.png,7
73.png,2
74.png,3
75.png,4
76.png,6
77.png,1
78.png,0
79.png,8
80.png,7
81.png,9
82.png,2
83.png,4
84.png,5
85.png,6
86.png,8
87.png,8
88.png,9
89.png,8
90.png,8
91.png,5
92.png,4
93.png,0
94.png,8
95.png,5
96.png,2
97.png,2
98.png,9
99.png,7
100.png,1
101.png,4
102.png,9
103.png,6
104.png,0
105.png,5
106.png,6
107.png,0
108.png,9
109.png,3
110.png,6
111.png,7
112.png,7
113.png,7
114.png,4
115.png,8
116.png,5
117.png,1
118.png,8
119.png,3
120.png,7
121.png,3
122.png,9
123.png,7
124.png,1
125.png,5
126.png,4
127.png,0
128.png,9
129.png,6
130.png,6
131.png,8
132.png,7
133.png,3
134.png,1
135.png,0
136.png,2
137.png,4
138.png,6
139.png,8
140.png,4
141.png,1
142.png,8
143.png,2
144.png,9
145.png,4
146.png,1
147.png,6
148.png,0
149.png,0
150.png,4
151.png,0
152.png,7
153.png,6
154.png,3
155.png,9
156.png,7
157.png,7
158.png,7
159.png,0
160.png,6
161.png,3
162.png,8
163.png,1
164.png,8
165.png,2
166.png,0
167.png,7
168.png,8
169.png,5
170.png,2
171.png,0
172.png,5
173.png,8
174.png,5
175.png,4
176.png,8
177.png,9
178.png,3
179.png,3
180.png,1
181.png,3
182.png,0
183.png,3
184.png,0
185.png,9
186.png,1
187.png,7
188.png,8
189.png,1
190.png,5
191.png,0
192.png,5
193.png,5
194.png,9
195.png,8
196.png,0
197.png,6
198.png,5
199.png,5
200.png,8
201.png,3
202.png,6
203.png,4
204.png,1
205.png,9
206.png,2
207.png,3
208.png,6
209.png,5
210.png,4
211.png,0
212.png,8
213.png,1
214.png,7
215.png,3
216.png,7
217.png,9
218.png,1
219.png,5
220.png,1
221.png,6
222.png,8
223.png,2
224.png,8
225.png,9
226.png,6
227.png,5
228.png,2
229.png,0
230.png,9
231.png,2
232.png,5
233.png,0
234.png,6
235.png,9
236.png,4
237.png,2
238.png,0
239.png,1
240.png,1
241.png,8
242.png,0
243.png,1
244.png,7
245.png,5
246.png,2
247.png,8
248.png,2
249.png,3
250.png,8
251.png,6
252.png,8
253.png,1
254.png,0
255.png,5
256.png,8
257.png,9
258.png,4
259.png,1
260.png,2
261.png,0
262.png,6
263.png,7
264.png,3
265.png,6
266.png,3
267.png,0
268.png,8
269.png,6
270.png,3
271.png,7
272.png,7
273.png,8
274.png,4
275.png,8
276.png,4
277.png,1
278.png,9
279.png,1
280.png,9
281.png,0
282.png,4
283.png,9
284.png,8
285.png,4
286.png,3
287.png,4
288.png,8
289.png,0
290.png,4
291.png,6
292.png,6
293.png,4
294.png,1
295.png,8
296.png,7
297.png,9
298.png,2
299.png,1
300.png,8
301.png,6
302.png,5
303.png,4
304.png,1
305.png,2
306.png,8
307.png,1
308.png,0
309.png,1
310.png,6
311.png,9
312.png,7
313.png,3
314.png,9
315.png,5
316.png,3
317.png,0
318.png,1
319.png,1
320.png,9
321.png,1
322.png,5
323.png,2
324.png,0
325.png,6
326.png,1
327.png,2
328.png,4
329.png,4
330.png,7
331.png,4
332.png,9
333.png,7
334.png,4
335.png,6
336.png,2
337.png,2
338.png,1
339.png,1
340.png,7
341.png,2
342.png,4
343.png,0
344.png,6
345.png,1
346.png,5
347.png,3
348.png,6
349.png,0
350.png,1
351.png,1
352.png,0
353.png,4
354.png,8
355.png,7
356.png,7
357.png,7
358.png,7
359.png,2
360.png,1
361.png,6
362.png,1
363.png,3
364.png,8
365.png,0
366.png,3
367.png,7
368.png,6
369.png,8
370.png,4
371.png,9
372.png,6
373.png,3
374.png,2
375.png,1
376.png,1
377.png,7
378.png,2
379.png,6
380.png,5
381.png,3
382.png,4
383.png,4
384.png,7
385.png,0
386.png,5
387.png,8
388.png,4
389.png,4
390.png,6
391.png,4
392.png,1
393.png,7
394.png,6
395.png,5
396.png,6
397.png,9
398.png,3
399.png,9
400.png,0
401.png,9
402.png,9
403.png,5
404.png,1
405.png,1
406.png,4
407.png,3
408.png,7
409.png,9
410.png,9
411.png,6
412.png,7
413.png,0
414.png,9
415.png,4
416.png,4
417.png,5
418.png,4
419.png,9
420.png,9
421.png,8
422.png,7
423.png,9
424.png,3
425.png,3
426.png,7
427.png,3
428.png,6
429.png,2
430.png,3
431.png,1
432.png,0
433.png,7
434.png,9
435.png,1
436.png,0
